shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
102,24.50055,39.6115,1,
102,24.5006,39.61077,2,
102,24.50048,39.61059,3,
102,24.50031,39.61045,4,
102,24.50009,39.61055,5,
102,24.49977,39.61076,6,
102,24.49925,39.61107,7,
102,24.49897,39.61115,8,
102,24.49869,39.61121,9,
102,24.49782,39.61122,10,
102,24.49695,39.61121,11,
102,24.49405,39.61117,12,
102,24.49293,39.61115,13,
102,24.49209,39.61106,14,
102,24.49118,39.61093,15,
102,24.49027,39.61087,16,
102,24.48969,39.6109,17,
102,24.48909,39.61098,18,
102,24.4879,39.61116,19,
102,24.48734,39.61117,20,
102,24.48677,39.61117,21,
102,24.48613,39.61115,22,
102,24.48548,39.61116,23,
102,24.48256,39.61113,24,
102,24.47792,39.61105,25,
102,24.47648,39.61104,26,
102,24.47506,39.61107,27,
102,24.47416,39.61103,28,
102,24.47325,39.61103,29,
102,24.47327,39.60967,30,
102,24.47265,39.60967,31,
102,24.47261,39.61102,32,
102,24.47164,39.61103,33,
102,24.47156,39.61101,34,
102,24.47147,39.61101,35,
102,24.47142,39.61104,36,
102,24.4714,39.61112,37,
41,24.47149,39.61127,1,
41,24.47157,39.61125,2,
41,24.47166,39.61123,3,
41,24.47256,39.61121,4,
41,24.47257,39.61308,5,
41,24.47305,39.61309,6,
41,24.47323,39.61301,7,
41,24.47332,39.61281,8,
41,24.4733,39.61199,9,
41,24.47328,39.61122,10,
41,24.47425,39.61123,11,
41,24.47449,39.61125,12,
41,24.47472,39.61132,13,
41,24.47556,39.61134,14,
41,24.47703,39.61123,15,
41,24.48201,39.61129,16,
41,24.48526,39.61132,17,
41,24.48732,39.6113,18,
41,24.48825,39.61142,19,
41,24.48939,39.61168,20,
41,24.49028,39.61178,21,
41,24.49119,39.6117,22,
41,24.49194,39.6115,23,
41,24.49267,39.61145,24,
41,24.49343,39.61143,25,
41,24.49622,39.6114,26,
41,24.49758,39.6114,27,
41,24.49826,39.61139,28,
41,24.49895,39.61143,29,
41,24.49923,39.61153,30,
41,24.49948,39.61167,31,
41,24.50009,39.61217,32,
41,24.50015,39.61222,33,
41,24.50021,39.61223,34,
41,24.50035,39.61224,35,
41,24.50045,39.61218,36,
41,24.50053,39.61208,37,
41,24.50055,39.6115,38,
111,24.43859,39.6166,1,
111,24.43886,39.61644,2,
111,24.43975,39.61619,3,
111,24.44065,39.62034,4,
111,24.44102,39.62179,5,
111,24.441,39.62424,6,
111,24.441,39.62517,7,
111,24.44098,39.62659,8,
111,24.44102,39.62823,9,
111,24.44065,39.62872,10,
111,24.44016,39.62874,11,
111,24.43992,39.6286,12,
111,24.43974,39.62838,13,
111,24.43955,39.62813,14,
111,24.43944,39.62771,15,
111,24.43946,39.62719,16,
111,24.43986,39.62638,17,
111,24.44355,39.62458,18,
111,24.44609,39.62329,19,
111,24.44748,39.62265,20,
111,24.44813,39.62243,21,
111,24.44876,39.62245,22,
111,24.45001,39.62262,23,
111,24.45054,39.62254,24,
111,24.45302,39.62154,25,
111,24.45443,39.61954,26,
111,24.45537,39.61861,27,
111,24.45625,39.61769,28,
111,24.45796,39.61487,29,
111,24.45895,39.61338,30,
111,24.45964,39.6122,31,
111,24.46025,39.61148,32,
111,24.46115,39.61101,33,
111,24.46197,39.6104,34,
111,24.46278,39.60965,35,
111,24.46296,39.60978,36,
111,24.46298,39.61046,37,
111,24.46293,39.61407,38,
111,24.46302,39.61478,39,
111,24.46312,39.61549,40,
111,24.46419,39.6176,41,
111,24.46479,39.6182,42,
111,24.46544,39.61881,43,
111,24.46645,39.61947,44,
111,24.46718,39.61965,45,
111,24.46798,39.6198,46,
111,24.46825,39.61976,47,
111,24.46835,39.61956,48,
111,24.46821,39.61936,49,
111,24.46789,39.61933,50,
111,24.46697,39.61915,51,
111,24.46609,39.6187,52,
111,24.46531,39.61813,53,
111,24.46474,39.61755,54,
111,24.46459,39.6173,55,
111,24.46464,39.61707,56,
111,24.46515,39.61647,57,
111,24.46548,39.61601,58,
111,24.46556,39.61556,59,
111,24.46555,39.61506,60,
111,24.46556,39.61393,61,
124,24.46554,39.6135,1,
124,24.46554,39.6107,2,
124,24.4656,39.61056,3,
124,24.46558,39.61043,4,
124,24.46551,39.61036,5,
124,24.46553,39.60947,6,
124,24.46553,39.60869,7,
124,24.46553,39.60829,8,
124,24.46548,39.60795,9,
124,24.46541,39.6078,10,
124,24.46524,39.60778,11,
124,24.46496,39.60771,12,
124,24.46387,39.6086,13,
124,24.4628,39.60951,14,
124,24.46157,39.61068,15,
124,24.4612,39.61084,16,
124,24.45989,39.61111,17,
124,24.45921,39.61162,18,
124,24.45865,39.61247,19,
124,24.45756,39.61412,20,
124,24.45542,39.6173,21,
124,24.45436,39.61873,22,
124,24.45302,39.61968,23,
124,24.44968,39.62145,24,
124,24.44342,39.62431,25,
124,24.44254,39.62457,26,
124,24.4417,39.62466,27,
124,24.44139,39.62455,28,
124,24.44135,39.62388,29,
124,24.44129,39.62148,30,
124,24.44087,39.61925,31,
124,24.44029,39.61706,32,
124,24.44008,39.61604,33,
124,24.439,39.61633,34,
124,24.43833,39.61662,35,
124,24.43806,39.61682,36,
124,24.4378,39.61698,37,
124,24.43815,39.61704,38,
124,24.4385,39.61689,39,
125,24.43862,39.61662,1,
125,24.43877,39.61647,2,
125,24.43902,39.61638,3,
125,24.4396,39.61625,4,
125,24.44013,39.6161,5,
125,24.43967,39.61397,6,
125,24.43878,39.60973,7,
125,24.43771,39.60487,8,
125,24.43768,39.60441,9,
125,24.43772,39.60399,10,
125,24.43852,39.60178,11,
125,24.43895,39.60066,12,
125,24.43921,39.60005,13,
125,24.43933,39.5998,14,
125,24.43953,39.59953,15,
125,24.43975,39.59929,16,
125,24.44069,39.59864,17,
125,24.44173,39.598,18,
125,24.44371,39.59677,19,
125,24.4454,39.59575,20,
125,24.44571,39.5954,21,
125,24.44622,39.59501,22,
125,24.4477,39.59411,23,
125,24.44818,39.59388,24,
125,24.44857,39.59372,25,
125,24.44898,39.59353,26,
125,24.45083,39.59247,27,
125,24.45209,39.59169,28,
125,24.45313,39.59109,29,
125,24.45338,39.59102,30,
125,24.45362,39.59105,31,
125,24.45389,39.59124,32,
125,24.45443,39.59241,33,
125,24.45499,39.59369,34,
125,24.45521,39.59421,35,
125,24.45551,39.5947,36,
125,24.45619,39.59556,37,
125,24.45874,39.59841,38,
125,24.45981,39.59956,39,
125,24.46057,39.60047,40,
125,24.46099,39.60104,41,
