trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
NORMAL_03_101_Return_22:10,22:10:00,22:10:00,2,1,,,,,
NORMAL_03_101_Return_22:10,22:17:38,22:17:38,3,2,,,,,
NORMAL_03_103_Go_07:20,07:20:00,07:20:00,10,1,,,,,
NORMAL_03_103_Go_07:20,07:33:59,07:33:59,9,2,,,,,
NORMAL_03_104_Return_21:15,21:15:00,21:15:00,11,1,,,,,
NORMAL_03_104_Return_21:15,21:26:21,21:26:21,10,2,,,,,
NORMAL_03_106_Return_12:40,12:40:00,12:40:00,13,1,,,,,
NORMAL_03_106_Return_12:40,13:01:45,13:01:45,2,2,,,,,
NORMAL_03_104_Go_12:40,12:40:00,12:40:00,10,1,,,,,
NORMAL_03_104_Go_12:40,12:50:30,12:50:30,11,2,,,,,
NORMAL_03_101_Go_17:20,17:20:00,17:20:00,3,1,,,,,
NORMAL_03_101_Go_17:20,17:28:46,17:28:46,2,2,,,,,
NORMAL_03_105_Go_08:15,08:15:00,08:15:00,10,1,,,,,
NORMAL_03_105_Go_08:15,08:26:08,08:26:08,3,2,,,,,
NORMAL_03_107_Return_15:00,15:00:00,15:00:00,2,1,,,,,
NORMAL_03_107_Return_15:00,15:09:39,15:09:39,10,2,,,,,
NORMAL_03_104_Return_14:20,14:20:00,14:20:00,11,1,,,,,
NORMAL_03_104_Return_14:20,14:30:41,14:30:41,10,2,,,,,
NORMAL_03_105_Return_13:10,13:10:00,13:10:00,3,1,,,,,
NORMAL_03_105_Return_13:10,13:18:15,13:29:10,4,2,,,,,
NORMAL_03_105_Return_13:10,13:33:25,13:49:15,5,3,,,,,
NORMAL_03_105_Return_13:10,14:02:28,14:02:28,10,4,,,,,
NORMAL_03_103_Return_17:00,17:00:00,17:00:00,9,1,,,,,
NORMAL_03_103_Return_17:00,17:10:48,17:10:48,10,2,,,,,
NORMAL_03_105_Return_10:40,10:40:00,10:40:00,3,1,,,,,
NORMAL_03_105_Return_10:40,10:49:28,10:59:58,4,2,,,,,
NORMAL_03_105_Return_10:40,11:05:16,11:11:27,5,3,,,,,
NORMAL_03_105_Return_10:40,11:34:05,11:34:05,10,4,,,,,
NORMAL_03_102_Go_17:50,17:50:00,17:50:00,10,1,,,,,
NORMAL_03_102_Go_17:50,18:01:13,18:01:13,7,2,,,,,
NORMAL_03_106_Go_19:45,19:45:00,19:45:00,2,1,,,,,
NORMAL_03_106_Go_19:45,19:59:26,19:59:26,13,2,,,,,
NORMAL_03_101_Return_17:45,17:45:00,17:45:00,2,1,,,,,
NORMAL_03_101_Return_17:45,17:52:15,17:52:15,3,2,,,,,
NORMAL_03_101_Go_16:45,16:45:00,16:45:00,3,1,,,,,
NORMAL_03_101_Go_16:45,16:53:07,16:53:07,2,2,,,,,
NORMAL_03_101_Go_07:20,07:20:00,07:20:00,3,1,,,,,
NORMAL_03_101_Go_07:20,07:29:48,07:29:48,2,2,,,,,
NORMAL_03_104_Return_08:35,08:35:00,08:35:00,11,1,,,,,
NORMAL_03_104_Return_08:35,08:45:48,08:45:48,10,2,,,,,
NORMAL_03_105_Go_21:00,21:00:00,21:00:00,10,1,,,,,
NORMAL_03_105_Go_21:00,21:14:24,21:14:24,3,2,,,,,
NORMAL_03_106_Go_15:40,15:40:00,15:40:00,2,1,,,,,
NORMAL_03_106_Go_15:40,15:54:26,15:54:26,13,2,,,,,
NORMAL_03_107_Return_19:40,19:40:00,19:40:00,2,1,,,,,
NORMAL_03_107_Return_19:40,19:49:39,19:49:39,10,2,,,,,
NORMAL_03_106_Go_17:05,17:05:00,17:05:00,2,1,,,,,
NORMAL_03_106_Go_17:05,17:19:26,17:19:26,13,2,,,,,
NORMAL_03_105_Return_11:25,11:25:00,11:25:00,3,1,,,,,
NORMAL_03_105_Return_11:25,11:33:43,11:42:12,4,2,,,,,
NORMAL_03_105_Return_11:25,11:47:10,11:53:47,5,3,,,,,
NORMAL_03_105_Return_11:25,12:19:48,12:19:48,10,4,,,,,
NORMAL_03_103_Go_19:35,19:35:00,19:35:00,10,1,,,,,
NORMAL_03_103_Go_19:35,19:48:59,19:48:59,9,2,,,,,
NORMAL_03_102_Go_17:20,17:20:00,17:20:00,10,1,,,,,
NORMAL_03_102_Go_17:20,17:31:13,17:31:13,7,2,,,,,
NORMAL_03_101_Return_16:50,16:50:00,16:50:00,2,1,,,,,
NORMAL_03_101_Return_16:50,16:57:20,16:57:20,3,2,,,,,
NORMAL_03_101_Go_12:05,12:05:00,12:05:00,3,1,,,,,
NORMAL_03_101_Go_12:05,12:15:36,12:15:36,2,2,,,,,
NORMAL_03_103_Return_14:20,14:20:00,14:20:00,9,1,,,,,
NORMAL_03_103_Return_14:20,14:30:48,14:30:48,10,2,,,,,
NORMAL_03_103_Go_14:05,14:05:00,14:05:00,10,1,,,,,
NORMAL_03_103_Go_14:05,14:18:59,14:18:59,9,2,,,,,
NORMAL_03_103_Go_16:40,16:40:00,16:40:00,10,1,,,,,
NORMAL_03_103_Go_16:40,16:53:59,16:53:59,9,2,,,,,
NORMAL_03_102_Go_18:00,18:00:00,18:00:00,10,1,,,,,
NORMAL_03_102_Go_18:00,18:11:02,18:11:02,7,2,,,,,
NORMAL_03_102_Go_06:00,06:00:00,06:00:00,10,1,,,,,
NORMAL_03_102_Go_06:00,06:10:18,06:10:18,7,2,,,,,
NORMAL_03_106_Return_14:40,14:40:00,14:40:00,13,1,,,,,
NORMAL_03_106_Return_14:40,15:01:45,15:01:45,2,2,,,,,
NORMAL_03_106_Go_17:30,17:30:00,17:30:00,2,1,,,,,
NORMAL_03_106_Go_17:30,17:44:26,17:44:26,13,2,,,,,
NORMAL_03_106_Return_11:25,11:25:00,11:25:00,13,1,,,,,
