route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number
101,1,NORMAL_03_101_Return_22:10,Uhud battlefield,,1,101_03,41,,,101_032,24,48
103,1,NORMAL_03_103_Go_07:20,AL Masjid Al-nabawi (Manakha Square),,1,103_01,125,,,103_011,5,5
104,1,NORMAL_03_104_Return_21:15,Quba Mosque,,1,104_02,128,,,104_022,22,46
106,1,NORMAL_03_106_Return_12:40,AL Masjid Al-nabawi (Clock Roundabout),,1,106_01,50,,,106_011,21,21
104,1,NORMAL_03_104_Go_12:40,AL Masjid Al-nabawi (AL Salam Gate),,1,104_01,127,,,104_011,21,21
101,1,NORMAL_03_101_Go_17:20,AL Masjid Al-nabawi (Clock Roundabout),,0,101_01,102,,,101_012,11,35
105,1,NORMAL_03_105_Go_08:15,Uhud battlefield,,1,105_03,130,,,105_031,3,3
107,1,NORMAL_03_107_Return_15:00,Quba Mosque,,1,107_01,132,,,107_012,5,28
104,1,NORMAL_03_104_Return_14:20,Quba Mosque,,1,104_01,128,,,104_012,2,26
105,1,NORMAL_03_105_Return_13:10,Quba Mosque,,1,105_01,129,,,105_011,14,14
103,1,NORMAL_03_103_Return_17:00,Quba Mosque,,1,103_01,126,,,103_012,10,34
105,1,NORMAL_03_105_Return_10:40,Quba Mosque,,1,105_03,129,,,105_031,8,8
102,1,NORMAL_03_102_Go_17:50,AL Masjid Al-nabawi (AL Baqe),,1,102_03,111,,,102_032,11,35
106,1,NORMAL_03_106_Go_19:45,Railway Station,,0,106_04,51,,,106_042,16,40
101,1,NORMAL_03_101_Return_17:45,Uhud battlefield,,1,101_04,41,,,101_042,10,34
101,1,NORMAL_03_101_Go_16:45,AL Masjid Al-nabawi (Clock Roundabout),,0,101_04,102,,,101_042,7,31
101,1,NORMAL_03_101_Go_07:20,AL Masjid Al-nabawi (Clock Roundabout),,0,101_01,102,,,101_011,5,5
104,1,NORMAL_03_104_Return_08:35,Quba Mosque,,1,104_02,128,,,104_021,8,8
105,1,NORMAL_03_105_Go_21:00,Uhud battlefield,,1,105_02,130,,,105_022,13,29
106,1,NORMAL_03_106_Go_15:40,Railway Station,,0,106_01,51,,,106_012,6,30
107,1,NORMAL_03_107_Return_19:40,Quba Mosque,,1,107_01,132,,,107_012,19,42
106,1,NORMAL_03_106_Go_17:05,Railway Station,,0,106_04,51,,,106_042,8,32
105,1,NORMAL_03_105_Return_11:25,Quba Mosque,,1,105_02,129,,,105_021,10,10
103,1,NORMAL_03_103_Go_19:35,AL Masjid Al-nabawi (Manakha Square),,1,103_02,125,,,103_022,17,41
102,1,NORMAL_03_102_Go_17:20,AL Masjid Al-nabawi (AL Baqe),,1,102_01,111,,,102_012,11,35
101,1,NORMAL_03_101_Return_16:50,Uhud battlefield,,1,101_03,41,,,101_032,8,32
101,1,NORMAL_03_101_Go_12:05,AL Masjid Al-nabawi (Clock Roundabout),,0,101_04,102,,,101_041,17,17
103,1,NORMAL_03_103_Return_14:20,Quba Mosque,,1,103_01,126,,,103_012,2,26
103,1,NORMAL_03_103_Go_14:05,AL Masjid Al-nabawi (Manakha Square),,1,103_04,125,,,103_041,23,23
103,1,NORMAL_03_103_Go_16:40,AL Masjid Al-nabawi (Manakha Square),,1,103_01,125,,,103_012,9,33
102,1,NORMAL_03_102_Go_18:00,AL Masjid Al-nabawi (AL Baqe),,1,102_01,111,,,102_012,13,37
102,1,NORMAL_03_102_Go_06:00,AL Masjid Al-nabawi (AL Baqe),,1,102_01,111,,,102_011,1,1
106,1,NORMAL_03_106_Return_14:40,AL Masjid Al-nabawi (Clock Roundabout),,1,106_01,50,,,106_012,3,27
106,1,NORMAL_03_106_Go_17:30,Railway Station,,0,106_03,51,,,106_032,10,34
106,1,NORMAL_03_106_Return_11:25,AL Masjid Al-nabawi (Clock Roundabout),,1,106_04,50,,,106_041,15,15
104,1,NORMAL_03_104_Go_11:25,AL Masjid Al-nabawi (AL Salam Gate),,1,104_04,127,,,104_041,15,15
104,1,NORMAL_03_104_Return_15:55,Quba Mosque,,1,104_02,128,,,104_022,6,30
107,1,NORMAL_03_107_Return_16:10,Quba Mosque,,1,107_03,132,,,107_032,6,30
104,1,NORMAL_03_104_Go_18:15,AL Masjid Al-nabawi (AL Salam Gate),,1,104_02,127,,,104_022,13,37
107,1,NORMAL_03_107_Return_20:50,Quba Mosque,,1,107_03,132,,,107_032,20,44
101,1,NORMAL_03_101_Return_17:05,Uhud battlefield,,1,101_04,41,,,101_042,8,32
101,1,NORMAL_03_101_Return_11:30,Uhud battlefield,,1,101_03,41,,,101_031,16,16
102,1,NORMAL_03_102_Return_20:25,Quba Mosque,,1,102_04,124,,,102_042,18,42
106,1,NORMAL_03_106_Go_08:10,Railway Station,,0,106_03,51,,,106_031,6,6
101,1,NORMAL_03_101_Go_18:05,AL Masjid Al-nabawi (Clock Roundabout),,0,101_04,102,,,101_042,11,35
103,1,NORMAL_03_103_Go_20:40,AL Masjid Al-nabawi (Manakha Square),,1,103_01,125,,,103_012,21,45
107,1,NORMAL_03_107_Return_18:25,Quba Mosque,,1,107_04,132,,,107_042,12,36
105,1,NORMAL_03_105_Go_10:00,Uhud battlefield,,1,105_02,130,,,105_021,7,7
105,1,NORMAL_03_105_Go_07:15,Uhud battlefield,,1,105_03,130,,,105_031,1,1
103,1,NORMAL_03_103_Return_10:35,Quba Mosque,,1,103_02,126,,,103_021,14,14
102,1,NORMAL_03_102_Return_07:30,Quba Mosque,,1,102_03,124,,,102_031,4,4
102,1,NORMAL_03_102_Return_09:00,Quba Mosque,,1,102_01,124,,,102_011,10,10
101,1,NORMAL_03_101_Go_18:00,AL Masjid Al-nabawi (Clock Roundabout),,0,101_01,102,,,101_012,13,37
107,1,NORMAL_03_107_Return_14:35,Quba Mosque,,1,107_02,132,,,107_022,2,26
102,1,NORMAL_03_102_Return_10:50,Quba Mosque,,1,102_03,124,,,102_031,14,14
104,1,NORMAL_03_104_Return_22:25,Quba Mosque,,1,104_04,128,,,104_042,24,48
102,1,NORMAL_03_102_Go_21:35,AL Masjid Al-nabawi (AL Baqe),,1,102_02,111,,,102_022,23,47
107,1,NORMAL_03_107_Return_08:50,Quba Mosque,,1,107_03,132,,,107_031,8,8
107,1,NORMAL_03_107_Return_13:05,Quba Mosque,,1,107_04,132,,,107_041,20,20
106,1,NORMAL_03_106_Go_09:55,Railway Station,,0,106_02,51,,,106_021,12,12
103,1,NORMAL_03_103_Go_08:15,AL Masjid Al-nabawi (Manakha Square),,1,103_02,125,,,103_021,7,7
103,1,NORMAL_03_103_Go_14:00,AL Masjid Al-nabawi (Manakha Square),,1,103_01,125,,,103_012,1,25
102,1,NORMAL_03_102_Return_09:30,Quba Mosque,,1,102_03,124,,,102_031,10,10
106,1,NORMAL_03_106_Go_11:30,Railway Station,,0,106_03,51,,,106_031,16,16
103,1,NORMAL_03_103_Return_19:15,Quba Mosque,,1,103_02,126,,,103_022,16,40
106,1,NORMAL_03_106_Return_17:10,AL Masjid Al-nabawi (Clock Roundabout),,1,106_03,50,,,106_032,9,33
